Name,Code
Decomm Complete,Decomm Complete
DR,DR
Growth,Growth
In-DC,In-DC
Long lead,Long lead
Long Lead - DC,Long Lead - DC
Long Lead - Server,Long Lead - Server
R&D,R&D
Reservation,Reservation
Staging,Staging
Test,Test
Warehouse,Warehouse
Secondary,Secondary
DecommPair,DecommPair
Warehouse-G,Warehouse-G
Warehouse-G-S,Warehouse-G-S
Rebuild,Rebuild
Canary,Canary
